2936,35,1,2025-03-16 19:42:49.6962979,0001-01-01 00:00:00.0000000,0,0
2937,36,3,2025-03-16 19:42:49.7039378,0001-01-01 00:00:00.0000000,,0
2938,35,11,2025-03-16 19:45:11.4016062,2025-03-16 19:55:34.3117611,0,0
2939,36,3,2025-03-16 19:55:34.3171514,0001-01-01 00:00:00.0000000,0,0
2940,35,4,2025-03-16 20:04:15.7681077,0001-01-01 00:00:00.0000000,,0
2941,35,1,2025-03-17 07:54:34.2825539,0001-01-01 00:00:00.0000000,0,0
2942,36,1,2025-03-17 07:54:34.2872200,2025-03-17 08:04:15.0068092,,0
2943,37,1,2025-03-17 08:04:15.0111704,2025-03-17 08:06:03.4524350,0,0
2944,35,1,2025-03-17 08:09:08.4741567,0001-01-01 00:00:00.0000000,0,0
2945,36,1,2025-03-17 08:09:08.4756280,2025-03-17 08:38:14.1204486,,0
2946,37,3,2025-03-17 08:38:14.1212493,0001-01-01 00:00:00.0000000,0,0
2947,36,8,2025-03-17 08:41:16.1562667,0001-01-01 00:00:00.0000000,0,0
2948,35,11,2025-03-17 08:41:47.0166800,2025-03-17 08:43:25.9894151,0,0
2949,36,1,2025-03-17 08:43:25.9904034,2025-03-17 08:44:43.9386941,0,0
2950,37,3,2025-03-17 08:44:43.9393821,0001-01-01 00:00:00.0000000,0,0
2951,36,8,2025-03-17 08:45:29.2161046,0001-01-01 00:00:00.0000000,0,0
2952,35,11,2025-03-17 08:46:09.9530755,2025-03-17 09:05:41.4766887,0,0
2953,36,2,2025-03-17 09:05:41.4772853,2025-03-17 10:03:04.8332232,0,0
2954,35,1,2025-03-17 10:08:05.6758493,0001-01-01 00:00:00.0000000,0,0
2955,36,2,2025-03-17 10:08:05.6782959,2025-03-17 10:08:47.1682019,,0
2956,35,1,2025-03-17 10:11:48.7027187,0001-01-01 00:00:00.0000000,0,0
2957,36,1,2025-03-17 10:11:48.7037200,2025-03-17 10:14:30.2043971,,0
2958,37,3,2025-03-17 10:14:30.2050930,0001-01-01 00:00:00.0000000,0,0
2959,36,8,2025-03-17 10:14:52.1613659,0001-01-01 00:00:00.0000000,0,0
2960,35,11,2025-03-17 10:16:23.7195288,2025-03-17 10:17:30.1327356,0,0
2961,36,2,2025-03-17 10:17:30.1341196,2025-03-17 10:18:46.1790311,0,0
2962,35,1,2025-03-17 10:25:30.2001109,0001-01-01 00:00:00.0000000,0,0
2963,36,1,2025-03-17 10:25:30.2007665,2025-03-17 10:27:23.2374696,,0
2964,37,3,2025-03-17 10:27:23.2383056,0001-01-01 00:00:00.0000000,0,0
2965,36,1,2025-03-17 10:31:26.0824225,2025-03-17 10:58:20.1219567,0,0
2966,37,1,2025-03-17 10:58:20.1379236,2025-03-17 10:58:52.2263450,0,0
2967,8,1,2025-03-17 11:23:17.4078431,0001-01-01 00:00:00.0000000,0,0
