1589,9,1083,0,2940,2025-03-16 19:42:49.7041744,0,,,,0,,0,,0,,A0037,6
1590,9,1035,1,2943,2025-03-17 07:54:34.2872251,0,,,1,0,,0,,0,,A0038,6
1591,9,1035,1,2953,2025-03-17 08:09:08.4756392,0,,,2,0,,0,,0,,A0039,6
1592,9,1035,1,2955,2025-03-17 10:08:05.6783061,0,,,2,0,,0,,0,,A0040,6
1593,9,1035,1,2961,2025-03-17 10:11:48.7037238,0,,,2,0,,0,,0,,A0041,6
1594,9,1035,1,2966,2025-03-17 10:25:30.2007712,0,,,1,0,,0,,0,,A0042,6
1595,4,1037,1,2970,2025-03-17 11:23:17.4120947,0,,,2,0,,0,,0,,V0047,4
1596,9,1035,0,3108,2025-03-17 11:39:36.9372028,0,,,,0,,0,,0,,A0043,6
1597,9,1035,0,3021,2025-03-17 12:01:30.2213352,0,,,,0,,0,,0,,A0044,6
1598,9,1037,0,2984,2025-03-17 12:29:11.7998194,0,,,,0,,,,0,,A0045,6
1599,8,1037,0,2986,2025-03-17 12:30:19.1989805,0,,,,0,,,,0,,H0057,11
1600,8,1022,1,3020,2025-03-18 08:41:17.3484527,0,,,2,0,,0,,0,,H0058,11
1601,4,1022,0,2990,2025-03-18 08:41:38.4909811,0,,,,0,,,,0,,V0048,71
1602,9,1035,0,3032,2025-03-18 08:43:16.5687224,0,,,,0,,0,,0,,A0046,6
1603,9,1035,1,3004,2025-03-18 09:03:05.3542732,0,,,2,0,,0,,0,,A0047,6
1604,9,1037,0,3033,2025-03-18 10:58:08.4355984,0,,,,0,,0,,0,,A0048,6
1605,9,1035,1,3019,2025-03-18 11:06:19.9337161,0,,,2,0,,0,,0,,A0049,6
1606,8,1022,0,3044,2025-03-18 11:21:17.5871377,0,,,,0,,0,,0,,H0059,11
1607,9,1035,0,3050,2025-03-18 12:57:48.8501294,0,,,,0,,0,,0,,A0050,6
1608,8,1022,1,3052,2025-03-18 13:04:49.3443456,0,,,1,0,,0,,0,,H0060,11
1609,8,1022,0,3055,2025-03-19 08:01:00.6208595,0,,,,0,,0,,0,,H0061,11
1610,4,1037,1,3057,2025-03-19 09:13:03.3171864,0,,,2,0,,0,,0,,V0049,4
1611,8,1022,1,3059,2025-03-19 11:14:29.9893123,0,,,1,0,,0,,0,,H0062,11
1612,4,1022,0,3061,2025-03-19 11:15:09.5767566,0,,,,0,,,,0,,V0050,4
1613,9,1022,0,3063,2025-03-19 11:15:45.3892208,0,,,,0,,,,0,,A0051,6
1614,8,1022,1,3065,2025-03-19 11:19:30.0773268,0,,,2,0,,0,,0,,H0063,11
1615,4,1037,0,3068,2025-03-19 12:30:09.6379893,0,,,,0,,0,,0,,V0051,4
1616,8,1037,1,3070,2025-03-20 13:43:59.9588648,0,,,1,0,,0,,0,,H0064,11
1617,8,1037,0,3073,2025-03-23 08:45:55.2607879,0,,,,0,,0,,0,,H0065,11
1618,4,1035,1,3077,2025-03-23 10:06:43.9052461,0,,,1,0,,0,,0,,V0052,4
1619,4,1035,1,3081,2025-03-23 12:08:24.0952805,0,,,2,0,,0,,0,,V0053,4
1620,4,1035,0,3083,2025-03-23 12:50:04.5843953,0,,,,0,,,,0,,V0054,4
1621,4,1035,0,3085,2025-03-23 12:54:20.3206589,0,,,,0,,,,0,,V0055,4
1622,4,1035,1,3089,2025-03-23 12:59:52.9426862,0,,,1,0,,0,,0,,V0056,4
1623,4,1086,0,3092,2025-03-24 07:07:37.6955179,0,,,,0,,0,,0,,V0057,4
1624,4,1035,0,3100,2025-03-24 08:23:21.2014848,0,,,,0,,0,,0,,V0058,4
1625,8,1037,0,3101,2025-03-24 09:25:09.9428186,0,,,,0,,0,,0,,H0066,11
1626,9,1035,1,3106,2025-03-24 11:23:47.0697786,0,,,1,0,,0,,0,,A0052,6
1627,9,1035,1,3112,2025-03-25 09:14:55.8600578,0,,,2,0,,0,,0,,A0053,6
