1,جميع المستخدمين,All Users,0
2,ايمان,,1
3,مستفيد---LK,,1
4,مستفيد---,,1
1002,testers_ devs_ devops,,1
1003,مستفيد 1,,1
1004,testers,,1
1005,developers,,1
1006,devops__,,1
1007,test,,1
1008,test,,1
1009,test,,1
1010,lskksjd,,1
1011,783623,,1
1012,^&#@,,1
1013,lllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll,,1
1014,jkiihugygy,,1
1015,add,,1
1016,regression,,1
1017,all users,,0
1018,المواطنين وجنسيات دول مجلس التعاون الخليجي والأجانب,,0
1019,Citizens and nationals of GCC countries and foreigners.,,0
