5,0,اسم المستخدم,1,1,name,0,12,1
8,0,حفظ,3,1,submit,0,1,1
13,0,موعد المعاينة,5,2,appointment,0,1,2
15,0,حفظ,3,2,saveButton,0,1,2
19,0,هل لديك احتياجات خاصة,4,3,private_need,4,1,4
23,0,هل تحتاج مرشد سياحي خلال زيارتك,4,3,tour_guide,5,1,5
26,0,موافقة علي الشروط والأحكام,4,3,terms,0,12,6
27,0,حفظ,3,3,save,0,1,6
29,0,g,1,4,t,0,,7
30,0,,1,4,g,0,1,7
31,0,g,1,4,g,0,6,7
32,0,g,1,4,g,0,6,7
33,0,title,1,5,title,0,,8
34,0,g,1,5,f,0,6,8
35,0,fg,1,5,test,0,6,8
36,0,required,1,5,required,0,,8
37,0,1,1,6,1,0,6,9
38,0,الأسم بالكامل,1,3,full_name,1,6,4
39,0,رقم الجوال,1,3,phone_number,2,12,4
40,0,البريد الالكترونى,1,3,email,3,12,4
41,0,نوع الزيارة,1,3,visit_type,6,12,5
42,0,السبب,1,3,reason,7,12,5
43,0,الاسم بالكامل,1,8,name,0,1,11
44,0,موعد المعاينة,5,9,date,8,1,12
45,0,تحديد ميعاد الزيارة,5,3,date,9,1,5
50,0,j,8,10,d,0,1,13
51,0,fdgf,8,10,fgh,0,1,13
52,0,h,8,10,h,0,1,13
53,0,g,8,10,g,0,1,13
