1,,,0,0,0,0,1,أول مرحلة,1,1,1,3,0,1,,0,1,0,
2,,,0,0,0,0,1,نهاية المرحلة,1,2,1,3,0,,,1,2,0,
3,,,0,0,0,0,1,تقديم طلب نشر كتاب,2,1,1,3,0,1,,1,3,0,
4,,,0,0,0,0,1,تقديم طلب نشر كتاب,3,1,5,3,0,1,,0,4,0,
5,,,0,0,0,0,1,مراجعة موظف الاستقبال ,3,2,1,3,0,,,0,5,0,
6,,,0,0,0,0,1,تحديد موعد معاينة,3,3,5,3,0,2,,0,6,0,
7,,,0,0,0,0,1,انهاء الطلب,3,4,1,3,0,,,1,7,0,
8,,,0,0,0,0,1,تقديم الطلب,4,1,5,0,0,3,,0,8,0,Submit an application
9,,,0,0,0,0,1,مراجعة الطلب,4,2,2,2,0,,,1,9,0,Review the application
12,,,0,0,0,0,1,تقديم الطلب,5,1,5,0,0,,,0,12,0,Submit Request
13,,,0,0,0,0,1,مراجعة الطلب,5,2,2,4,0,,,0,13,0,Request Review
14,,,0,0,0,0,1,معاينة المقتنى او المخطوط,5,3,2,5,0,,,0,14,0,Inspect the item or Manuscript
15,,,0,0,0,0,1,اجراء التعقيم او الترميم او التجليد ,5,5,2,6,0,,,0,15,0,Apply the Sterilization, Restoration, orBinding
16,,,0,0,0,0,1,مراجعة الاجراء ,5,6,2,7,0,,,0,16,0,Review Request
17,,,0,0,0,0,1,اعتماد الاجراء,5,7,2,8,0,,,1,17,0,Procedure Approval 
18,,,0,0,0,0,1,تقديم الطلب,6,1,5,0,0,,,0,18,0,Submit Request
19,,,0,0,0,0,1,مراجعة موظف الاستقبال,6,2,2,4,0,,,0,19,0,Receptionist Review 
20,,,0,0,0,0,1,معاينة الوثائق,6,3,2,5,0,,,0,20,0,Inspect Document 
21,,,0,0,0,0,1,مراجعة الاجراء,6,4,2,7,0,,,0,21,0,Procedure Review 
22,,,0,0,0,0,1,اعتماد الاجراء,6,5,2,8,0,,,1,22,0,Procedure Approval
23,,,0,0,0,0,1,تقديم الطلب,7,1,5,0,0,,,0,23,0,Submit an Application
24,,,0,0,0,0,1,مراجعة موظف الاستقبال,7,2,2,4,0,,,0,24,0,Receptionist review
25,,,0,0,0,0,1,استلام المخطوط ,7,3,2,4,0,,,0,25,0,Receive the manuscript
26,,,0,0,0,0,1,معاينة المخطوط ,7,4,2,5,0,,,0,26,0,Manuscript Inspection
27,,,0,0,0,0,1,دفع تكاليف الخدمة,7,5,5,0,0,,,0,27,0,Pay Service Fees
28,,,0,0,0,0,1,مراجعة مدير المركز,7,6,2,8,0,,,0,28,0,Center Director Review 
29,,,0,0,0,0,1,الرقمنة,7,7,2,9,0,,,0,29,0,Digitization
30,,,0,0,0,0,1,مراجعة الرقمنة,7,8,2,10,0,,,0,30,0,Digitization Review
31,,,0,0,0,0,1,اعتماد مدير المركز ,7,9,2,8,0,,,1,31,0,Director Approval
32,,,0,0,0,0,1,تقديم الطلب,8,1,5,0,0,,,0,32,0,Submit an application
33,,,0,0,0,0,1,مراجعة الطلب,8,2,2,2,0,,,0,33,0,Review the application
34,,,0,0,0,0,1,دفع التكاليف,8,3,5,0,0,,,0,34,0,Pay the Fees
35,,,0,0,0,0,1,تقديم الطلب,9,1,5,0,0,,,0,35,0,Submit an application
36,,,0,0,0,0,1,مراجعة الطلب,9,2,2,10,0,,,0,36,0,Review the Application
37,,,0,0,0,0,1,مراجعة رئيس القسم,9,3,2,7,0,,,1,37,0,Department Head Review
38,2,1,0,0,0,0,1,عرض على موظف المجمع,10,1,5,0,0,9,,1,38,0,
39,4,3,0,0,0,0,1,kjtr,14,1,5,0,0,3,,1,39,0,
1038,1003,1002,0,0,0,0,1,LKL,1020,1,5,0,0,3,,0,1038,0,
