1,طلب نشر كتاب,Book Publication Request ,0
2,طلب زيارة المجمع, Request to Visit the Complex,0
3,طلب خدمة الرقمنة,Digitization Service Request,0
4,طلب نشر بحث,Research Publication Request,0
5,طلب شراء صورة مخطوط, Manuscript Image Purchase Request ,1
6,طلب إضافة مكتبة,Add a Sub - Library,0
7,طلب  الترميم او التعقيم او التجليد,Restoration, Sterilization, and Binding Request,0
8,طلب افادة عن صحة وثائق,Request Documents Verification ,0
9,طلب حجز قاعة,Hall Reservation ,0
10,[dpsfk[,,1
11,نيو NEW,,1
12,NEW NEW,,1
1010,dummy,,1
1011,type,,1
1012,test,,1
1013,type,,1
1014,type 2,,1
1015,o]li__kk,,1
1016,طلب استشارة بحثية,Research Consultation Service Request,0
1017,طلب وقف أو إهداء,Endowment or Gift Service,0
1018,طلب صورة مخطوط / كتاب نادر,Request Photo Manuscript/Rare Book,0
