1,1,طلب نشر كتاب نموذج,,,2024-07-07 10:05:01.2019794,0001-01-01 00:00:00.0000000,book_service,1,1,1
2,1,تحديد موعد معاينة,تحديد موعد معاينة,,2024-07-07 12:50:32.4682508,0001-01-01 00:00:00.0000000,appointment,1,1,2
3,0,نموذج طلب زيارة المجمع,نموذج طلب زيارة المجمع,1,2024-07-21 08:24:05.4544233,0001-01-01 00:00:00.0000000,visit,1,1,3
4,1,test,,,2024-07-17 08:38:25.0972706,0001-01-01 00:00:00.0000000,test,1,0,0
5,1,اخر نموذج,,,2024-07-17 08:55:28.6060439,0001-01-01 00:00:00.0000000,new,1,0,0
6,1,all,,,2024-07-17 11:32:38.5552634,0001-01-01 00:00:00.0000000,all,1,0,0
7,1,نموذج طلب زيارة مجمع 2,وصف النموذج,1,2024-07-28 10:31:05.2820026,0001-01-01 00:00:00.0000000,visit-v,1,1,0
8,1,تست,وصف,1,2024-07-28 10:33:36.1947050,0001-01-01 00:00:00.0000000,testr,1,1,0
9,0,تحديد موعد معاينة,وصف,1,2024-07-30 08:34:06.4594051,0001-01-01 00:00:00.0000000,appointmentss,1,1,0
10,1,نوع الزيارة,وصف,1,2024-07-30 11:59:17.2371254,0001-01-01 00:00:00.0000000,test-dropdown,1,0,0
